size,omega0
1547,671.43
1548,671.685
1549,672.165
1550,672.475
1551,673.645
1552,673.235
1553,673.775
1554,674.705
1555,674.88
1556,675.47
1557,675.79
1558,675.775
1559,676.855
1560,677.215
1561,677.775
1562,677.69
1563,679.97
1564,678.605
1565,678.875
1566,680.475
1567,681.125
1568,681.62
1569,681.705
1570,682.1
1571,683.315
1572,683.43
1573,684.065
1574,684.61
1575,684.86
1576,685.855
1577,686.125
1578,685.975
1579,687.765
1580,687.36
1581,687.845
1582,689.1
1583,688.15
1584,689.57
1585,689.61
1586,690.955
1587,691.64
1588,691.425
1589,692.025
1590,692.795
1591,694.12
1592,692.98
1593,693.985
1594,694.595
1595,694.97
1596,695.82
1597,696.72
1598,697.605
1599,698.905
1600,697.945
1601,698.25
1602,698.265
1603,698.765
1604,699.22
1605,699.84
1606,700.815
1607,700.995
1608,701.99
1609,702.41
1610,702.55
1611,703.25
1612,704.7
1613,704.165
1614,705.2
1615,704.665
1616,705.625
1617,706.525
1618,706.445
1619,707.555
1620,707.68
1621,709.33
1622,708.275
1623,708.505
1624,709.2
1625,710.12
1626,709.4
1627,711.295
1628,713.12
1629,711.47
1630,712.645
1631,714.085
1632,714.95
1633,713.71
1634,714.505
1635,715.205
1636,715.33
1637,716.455
1638,716.785
1639,717.94
1640,717.625
1641,717.815
1642,719.125
1643,719.905
1644,719.19
1645,720.565
1646,721.085
1647,721.445
1648,721.715
1649,723.635
1650,723.97
1651,723.215
1652,724.435
1653,724.53
1654,725.255
1655,725.645
1656,726.17
1657,725.91
1658,726.92
1659,727.995
1660,728.22
1661,728.68
1662,728.735
1663,729.735
1664,729.76
1665,731.025
1666,731.61
1667,732.975
1668,732.65
1669,733.355
1670,734.09
1671,732.535
1672,733.95
1673,735.81
1674,735.445
1675,735.345
1676,736.69
1677,736.54
1678,738.115
1679,737.915
1680,738.225
1681,739.335
1682,739.375
1683,740.245
1684,741.36
1685,740.32
1686,741.835
1687,741.62
1688,742.475
1689,742.325
1690,743.095
1691,743.54
1692,745.245
1693,744.665
1694,744.845
1695,745.955
1696,745.935
1697,747.17
1698,748.41
1699,749.035
1700,748.4
1701,749.135
1702,748.865
1703,749.61
1704,749.66
1705,751.955
1706,751.965
1707,752.695
1708,752.265
1709,753.5
1710,754.565
1711,754.48
1712,755.18
1713,755.445
1714,756.115
1715,756.98
1716,756.735
1717,756.98
1718,757.7
1719,759.34
1720,758.195
1721,759.92
1722,759.8
1723,759.75
1724,760.72
1725,762.34
1726,761.42
1727,763.185
1728,762.785
1729,762.76
1730,763.975
1731,764.79
1732,764.1
1733,765.985
1734,765.77
1735,766.105
1736,767.695
1737,767.48
1738,768.42
1739,768.035
1740,769.235
1741,769.93
1742,770.055
1743,770.74
1744,771.345
1745,771.125
1746,772.725
1747,772.355
1748,772.635
1749,774.095
1750,773.995
1751,774.66
1752,775.6466666666666
1753,776.2
1754,775.1
1755,777.1
1756,777.92
1757,777.5333333333333
1758,778.0666666666667
1759,779.86
1760,779.1533333333333
1761,780.0733333333334
1762,780.4066666666666
1763,780.7866666666666
1764,781.4533333333334
1765,781.9066666666666
1766,783.12
1767,783.06
1768,783.84
1769,784.6333333333333
1770,783.7266666666667
1771,785.4533333333334
1772,786.3866666666667
1773,786.98
1774,786.3466666666667
1775,788.2266666666667
1776,787.0
1777,788.52
1778,789.2866666666666
1779,788.9466666666667
1780,790.42
1781,789.3733333333333
1782,791.46
1783,790.8333333333334
1784,791.5466666666666
1785,793.0
1786,792.3933333333333
1787,792.3066666666666
1788,793.8466666666667
1789,794.82
1790,793.7666666666667
1791,794.74
1792,796.4133333333333
1793,797.7866666666666
1794,796.1466666666666
1795,797.3133333333334
1796,798.22
1797,798.04
1798,799.26
1799,800.08
1800,800.42
1801,800.1866666666666
1802,801.6
1803,800.9333333333333
1804,801.5
1805,802.3133333333334
1806,802.54
1807,803.2933333333333
1808,804.4
1809,803.9866666666667
1810,804.3133333333334
1811,805.1866666666666
1812,806.0933333333334
1813,806.4333333333333
1814,807.3266666666667
1815,807.9733333333334
1816,808.5666666666667
1817,808.84
1818,810.2866666666666
1819,810.0866666666667
1820,810.0066666666667
1821,810.0866666666667
1822,811.3933333333333
1823,811.3933333333333
1824,812.2666666666667
1825,812.84
1826,812.36
1827,813.4933333333333
1828,813.58
1829,813.6333333333333
1830,815.2
1831,817.2666666666667
1832,816.72
1833,817.2866666666666
1834,817.5533333333333
1835,817.6933333333334
1836,817.9533333333334
1837,818.7266666666667
1838,820.0266666666666
1839,819.2333333333333
1840,820.0933333333334
1841,820.5866666666667
1842,821.68
1843,822.48
1844,823.1466666666666
1845,823.6666666666666
1846,822.8733333333333
1847,824.0
1848,824.6
1849,824.92
1850,825.1733333333333
1851,825.7133333333334
1852,826.5266666666666
1853,826.48
1854,826.84
1855,828.2
1856,828.1266666666667
1857,828.9133333333333
1858,829.06
1859,830.7933333333333
1860,831.1533333333333
1861,831.3666666666667
1862,832.02
1863,831.7466666666667
1864,832.9466666666667
1865,833.2533333333333
1866,833.3866666666667
1867,833.8133333333334
1868,834.78
1869,835.0933333333334
1870,835.1866666666666
1871,836.5066666666667
1872,836.8533333333334
1873,836.9666666666667
1874,837.3733333333333
1875,839.2666666666667
1876,839.46
1877,838.8066666666666
1878,839.5866666666667
1879,840.1866666666666
1880,841.3533333333334
1881,841.7533333333333
