size,omega0
1466,434.7537311
1467,435.1377952
1468,435.521906
1469,435.9060635
1470,436.2902676
1471,436.674518
1472,437.0588149
1473,437.4431579
1474,437.8275472
1475,438.2119825
1476,438.5964638
1477,438.980991
1478,439.365564
1479,439.7501827
1480,440.1348469
1481,440.5195567
1482,440.9043119
1483,441.2891124
1484,441.6739581
1485,442.0588489
1486,442.4437848
1487,442.8287656
1488,443.2137913
1489,443.5988617
1490,443.9839768
1491,444.3691364
1492,444.7543405
1493,445.1395889
1494,445.5248817
1495,445.9102186
1496,446.2955996
1497,446.6810246
1498,447.0664935
1499,447.4520062
1500,447.8375626
1501,448.2231627
1502,448.6088062
1503,448.6276548
1504,449.010177
1505,449.3927822
1506,449.7754701
1507,450.1582407
1508,450.5410937
1509,450.9240291
1510,451.3070467
1511,451.6901464
1512,452.073328
1513,452.4565914
1514,452.8399365
1515,453.223363
1516,453.6068709
1517,453.9904601
1518,454.3741303
1519,454.7578815
1520,455.1417135
1521,455.5256261
1522,455.9096193
1523,456.2936929
1524,456.6778467
1525,457.0620806
1526,457.4463945
1527,457.8307882
1528,458.2152616
1529,458.5998145
1530,458.9844468
1531,459.3691584
1532,459.7539491
1533,460.1388188
1534,460.5237673
1535,460.9087945
1536,461.2939003
1537,461.6790845
1538,462.064347
1539,462.4496876
1540,462.8351062
1541,463.2206027
1542,463.6061768
1543,463.9918286
1544,464.3775578
1545,464.7633643
1546,465.1492479
1547,465.5352086
1548,465.9212461
1549,466.3073604
1550,466.6935512
1551,467.0798185
1552,467.4661622
1553,467.8525819
1554,468.2390778
1555,468.6256495
1556,469.0122969
1557,469.39902
1558,469.7858185
1559,470.1726924
1560,470.5596415
1561,470.9466656
1562,471.3337646
1563,471.7209384
1564,472.1081868
1565,472.4955096
1566,472.8829069
1567,473.2703783
1568,473.6579238
1569,474.0455432
1570,474.4332364
1571,474.8210033
1572,475.2088436
1573,475.5967574
1574,475.9847443
1575,476.3728043
1576,476.7609373
1577,477.149143
1578,477.5374215
1579,477.9257724
1580,478.3141957
1581,478.7026913
1582,479.0912589
1583,479.4798985
1584,479.86861
1585,480.2573931
1586,480.6462477
1587,481.0351738
1588,481.424171
1589,481.8132395
1590,482.2023788
1591,482.591589
1592,482.98087
1593,483.3702214
1594,483.7596433
1595,484.1491354
1596,484.5386977
1597,484.92833
1598,485.3180321
1599,485.7078039
1600,486.0976453
1601,486.4875562
1602,486.8775363
1603,487.2675856
1604,487.6577038
1605,488.047891
1606,488.4381469
1607,488.8284713
1608,489.2188642
1609,489.6093254
1610,489.9998548
1611,490.3904522
1612,490.7811175
1613,491.1718505
1614,491.5626511
1615,491.9535192
1616,492.3444547
1617,492.7354573
1618,493.1265269
1619,493.5176634
1620,493.9088668
1621,494.3001367
1622,494.6914731
1623,495.0828758
1624,495.4743448
1625,495.8658798
1626,496.2574807
1627,496.6491474
1628,497.0408797
1629,497.4326776
1630,497.8245407
1631,498.2164692
1632,498.6084626
1633,499.000521
1634,499.3926443
1635,499.7848321
1636,500.1770845
1637,500.5694012
1638,500.9617822
1639,501.3542273
1640,501.7467363
1641,502.1393092
1642,502.5319457
1643,502.9246457
1644,503.3174092
1645,503.7102358
1646,504.1031256
1647,504.4960784
1648,504.889094
1649,505.2821722
1650,505.6753131
1651,506.0685163
1652,506.4617818
1653,506.8551094
1654,507.248499
1655,507.6419505
1656,508.0354636
1657,508.4290384
1658,508.8226745
1659,509.2163719
1660,509.6101305
1661,510.0039501
1662,510.3978305
1663,510.7917717
1664,511.1857734
1665,511.5798356
1666,511.9739581
1667,512.3681407
1668,512.7623834
1669,513.1566859
1670,513.5510482
1671,513.94547
1672,514.3399514
1673,514.734492
1674,515.1290918
1675,515.5237507
1676,515.9184685
1677,516.313245
1678,516.7080801
1679,517.1029737
1680,517.4979256
1681,517.8929358
1682,518.288004
1683,518.68313
1684,519.0783139
1685,519.4735554
1686,519.8688544
1687,520.2642107
1688,520.6596243
1689,521.0550949
1690,521.4506225
1691,521.8462068
1692,522.2418478
1693,522.6375453
1694,523.0332991
1695,523.4291092
1696,523.8249754
1697,524.2208975
1698,524.6168755
1699,525.012909
1700,525.4089982
1701,525.8051427
1702,526.2013424
1703,526.5975973
1704,526.9939071
1705,527.3902717
1706,527.786691
1707,528.1831649
1708,528.5796931
1709,528.9762757
1710,529.3729123
1711,529.7696029
1712,530.1663474
1713,530.5631456
1714,530.9599973
1715,531.3569024
1716,531.7538608
1717,532.1508724
1718,532.5479369
1719,532.9450543
1720,533.3422245
1721,533.7394472
1722,534.1367223
1723,534.5340497
